"address"|"lot_number"|"number_first"|"number_last"|"street_name"|"street_type"|"street_suffix"|"locality_name"|"postcode"|"state_code"
"39 BIRDWOOD AVENUE"|""|"39"|""|"BIRDWOOD"|"AVENUE"|""|"DANDENONG"|"3175"|"VIC"
"47 BIRDWOOD AVENUE"|""|"47"|""|"BIRDWOOD"|"AVENUE"|""|"DANDENONG"|"3175"|"VIC"
"52 BIRDWOOD AVENUE"|""|"52"|""|"BIRDWOOD"|"AVENUE"|""|"DANDENONG"|"3175"|"VIC"
"6 BLACKMORE STREET"|""|"6"|""|"BLACKMORE"|"STREET"|""|"DANDENONG NORTH"|"3175"|"VIC"
"20 BELMONT AVENUE"|""|"20"|""|"BELMONT"|"AVENUE"|""|"CLAYTON"|"3168"|"VIC"
"27 OUTLOOK DRIVE"|""|"27"|""|"OUTLOOK"|"DRIVE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"34 OUTLOOK DRIVE"|""|"34"|""|"OUTLOOK"|"DRIVE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"8 LILLIAN STREET"|""|"8"|""|"LILLIAN"|"STREET"|""|"CLAYTON"|"3168"|"VIC"
"11 FINSBURY COURT"|""|"11"|""|"FINSBURY"|"COURT"|""|"DANDENONG NORTH"|"3175"|"VIC"
"1 FIRST AVENUE"|""|"1"|""|"FIRST"|"AVENUE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"1B THE AVENUE"|""|"1B"|""|"THE AVENUE"|""|""|"COBURG"|"3058"|"VIC"
"2A BESSAZILE AVENUE"|""|"2A"|""|"BESSAZILE"|"AVENUE"|""|"FOREST HILL"|"3131"|"VIC"
"5 MURPHY STREET"|""|"5"|""|"MURPHY"|"STREET"|""|"CHADSTONE"|"3148"|"VIC"
"25 LEXTON AVENUE"|""|"25"|""|"LEXTON"|"AVENUE"|""|"DANDENONG"|"3175"|"VIC"
"25 NEW STREET"|""|"25"|""|"NEW"|"STREET"|""|"DANDENONG"|"3175"|"VIC"
"47 NICHOLAS DRIVE"|""|"47"|""|"NICHOLAS"|"DRIVE"|""|"DANDENONG SOUTH"|"3175"|"VIC"
"12 NICOLE AVENUE"|""|"12"|""|"NICOLE"|"AVENUE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"27 NICOLE AVENUE"|""|"27"|""|"NICOLE"|"AVENUE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"10 SABINE AVENUE"|""|"10"|""|"SABINE"|"AVENUE"|""|"DANDENONG NORTH"|"3175"|"VIC"
"16 SAMARIA STREET"|""|"16"|""|"SAMARIA"|"STREET"|""|"DANDENONG NORTH"|"3175"|"VIC"
"49 ESSEX PARK DRIVE"|""|"49"|""|"ESSEX PARK"|"DRIVE"|""|"ENDEAVOUR HILLS"|"3802"|"VIC"
"73-77 GEDDES STREET"|""|"73"|"77"|"GEDDES"|"STREET"|""|"MULGRAVE"|"3170"|"VIC"
"6 COE COURT"|""|"6"|""|"COE"|"COURT"|""|"MOOROOPNA"|"3629"|"VIC"
"208 HANSWORTH STREET"|""|"208"|""|"HANSWORTH"|"STREET"|""|"MULGRAVE"|"3170"|"VIC"
"105 ECHUCA ROAD"|""|"105"|""|"ECHUCA"|"ROAD"|""|"MOOROOPNA"|"3629"|"VIC"
"28 BAKER CRESCENT"|""|"28"|""|"BAKER"|"CRESCENT"|""|"MOOROOPNA"|"3629"|"VIC"
"30 GEMMILL CRESCENT"|""|"30"|""|"GEMMILL"|"CRESCENT"|""|"MOOROOPNA"|"3629"|"VIC"
"35 HANSWORTH STREET"|""|"35"|""|"HANSWORTH"|"STREET"|""|"MULGRAVE"|"3170"|"VIC"
"31A AVENUE ROAD"|""|"31A"|""|"AVENUE"|"ROAD"|""|"FREWVILLE"|"5063"|"SA"
"18 BANYULE COURT"|""|"18"|""|"BANYULE"|"COURT"|""|"KYABRAM"|"3620"|"VIC"
"76 FISCHER STREET"|""|"76"|""|"FISCHER"|"STREET"|""|"KYABRAM"|"3620"|"VIC"
"14 RICHARDS STREET"|""|"14"|""|"RICHARDS"|"STREET"|""|"KYABRAM"|"3620"|"VIC"
"6 HAKEA COURT"|""|"6"|""|"HAKEA"|"COURT"|""|"KYABRAM"|"3620"|"VIC"
"48 FISCHER STREET"|""|"48"|""|"FISCHER"|"STREET"|""|"KYABRAM"|"3620"|"VIC"
"45 NARRAWONG ROAD"|""|"45"|""|"NARRAWONG"|"ROAD"|""|"CAULFIELD SOUTH"|"3162"|"VIC"
"59 NARRAWONG ROAD"|""|"59"|""|"NARRAWONG"|"ROAD"|""|"CAULFIELD SOUTH"|"3162"|"VIC"
"15 LORNE STREET"|""|"15"|""|"LORNE"|"STREET"|""|"CAULFIELD EAST"|"3145"|"VIC"
"52 DAVISSON STREET"|""|"52"|""|"DAVISSON"|"STREET"|""|"EPPING"|"3076"|"VIC"
"250 DOCTORS GULLY ROAD"|""|"250"|""|"DOCTORS GULLY"|"ROAD"|""|"DOREEN"|"3754"|"VIC"
"384 FIFTH AVENUE"|""|"384"|""|"FIFTH"|"AVENUE"|""|"EDEN PARK"|"3757"|"VIC"
"6 BURRAWONG AVENUE"|"A"|"6"|""|"BURRAWONG"|"AVENUE"|""|"MOSMAN"|"2088"|"NSW"
"5 BURRAWONG AVENUE"|"10"|"5"|""|"BURRAWONG"|"AVENUE"|""|"MOSMAN"|"2088"|"NSW"
"4 FEDERAL STREET"|""|"4"|""|"FEDERAL"|"STREET"|""|"MORGAN"|"5320"|"SA"
"4 PLOVER COURT"|""|"4"|""|"PLOVER"|"COURT"|""|"HEWETT"|"5118"|"SA"
"5 WILLIAM AVENUE"|""|"5"|""|"WILLIAM"|"AVENUE"|""|"HENLEY BEACH SOUTH"|"5022"|"SA"
"24 FRANKLIN AVENUE"|""|"24"|""|"FRANKLIN"|"AVENUE"|""|"FLINDERS PARK"|"5025"|"SA"
"4 OCEANVIEW AVENUE"|""|"4"|""|"OCEANVIEW"|"AVENUE"|""|"MASLIN BEACH"|"5170"|"SA"
"22 THIELE ROAD"|""|"22"|""|"THIELE"|"ROAD"|""|"MURRAY BRIDGE EAST"|"5253"|"SA"
"17 THIELE ROAD"|""|"17"|""|"THIELE"|"ROAD"|""|"MURRAY BRIDGE EAST"|"5253"|"SA"
"16 WILLIAM STREET"|""|"16"|""|"WILLIAM"|"STREET"|""|"MURRAY BRIDGE"|"5253"|"SA"
"44 MARY STREET"|""|"44"|""|"MARY"|"STREET"|""|"PETERHEAD"|"5016"|"SA"
"109 FLETCHER ROAD"|""|"109"|""|"FLETCHER"|"ROAD"|""|"PETERHEAD"|"5016"|"SA"
"26 MCINTOSH STREET"|""|"26"|""|"MCINTOSH"|"STREET"|""|"WHYALLA PLAYFORD"|"5600"|"SA"
"41 BLANFORD STREET"|""|"41"|""|"BLANFORD"|"STREET"|""|"WEST CROYDON"|"5008"|"SA"
"30 BLANFORD STREET"|""|"30"|""|"BLANFORD"|"STREET"|""|"WEST CROYDON"|"5008"|"SA"
"52 BEDFORD STREET"|""|"52"|""|"BEDFORD"|"STREET"|""|"WEST CROYDON"|"5008"|"SA"
"6 EVELYN STURT DRIVE"|""|"6"|""|"EVELYN STURT"|"DRIVE"|""|"WILLUNGA"|"5172"|"SA"
"1 HURON GROVE"|""|"1"|""|"HURON"|"GROVE"|""|"WEST LAKES"|"5021"|"SA"
"18 HURON GROVE"|""|"18"|""|"HURON"|"GROVE"|""|"WEST LAKES"|"5021"|"SA"
"17 HUNTINGDALE AVENUE"|""|"17"|""|"HUNTINGDALE"|"AVENUE"|""|"WEST LAKES"|"5021"|"SA"
"15 HUNTINGDALE AVENUE"|""|"15"|""|"HUNTINGDALE"|"AVENUE"|""|"WEST LAKES"|"5021"|"SA"
"11 OPIE STREET"|""|"11"|""|"OPIE"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"11 OLDRIDGE STREET"|""|"11"|""|"OLDRIDGE"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"10 OLDRIDGE STREET"|""|"10"|""|"OLDRIDGE"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"12 SUGG STREET"|""|"12"|""|"SUGG"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"8 STORY STREET"|""|"8"|""|"STORY"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"12 SMOKER STREET"|""|"12"|""|"SMOKER"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"45 SKURRAY STREET"|""|"45"|""|"SKURRAY"|"STREET"|""|"WHYALLA NORRIE"|"5608"|"SA"
"72 GRANGE ROAD"|""|"72"|""|"GRANGE"|"ROAD"|""|"WELLAND"|"5007"|"SA"
"7 WESTBURY COURT"|""|"7"|""|"WESTBURY"|"COURT"|""|"CRAIGMORE"|"5114"|"SA"
"277 HANSON ROAD"|""|"277"|""|"HANSON"|"ROAD"|""|"WINGFIELD"|"5013"|"SA"
"33 MAY STREET"|""|"33"|""|"MAY"|"STREET"|""|"GOSNELLS"|"6110"|"WA"
"35 MAY STREET"|""|"35"|""|"MAY"|"STREET"|""|"GOSNELLS"|"6110"|"WA"
"46 EVELYN STREET"|""|"46"|""|"EVELYN"|"STREET"|""|"GOSNELLS"|"6110"|"WA"
"128 BRAEMORE STREET"|""|"128"|""|"BRAEMORE"|"STREET"|""|"ARMADALE"|"6112"|"WA"
"11 SHEARWATER DRIVE"|""|"11"|""|"SHEARWATER"|"DRIVE"|""|"JURIEN BAY"|"6516"|"WA"
"34 VERTICORDIA PLACE"|""|"34"|""|"VERTICORDIA"|"PLACE"|""|"JURIEN BAY"|"6516"|"WA"
"47 LESUEUR DRIVE"|""|"47"|""|"LESUEUR"|"DRIVE"|""|"JURIEN BAY"|"6516"|"WA"
"10 GREEN HEAD ROAD"|""|"10"|""|"GREEN HEAD"|"ROAD"|""|"GREEN HEAD"|"6514"|"WA"
"2 MORPHETT CRESCENT"|""|"2"|""|"MORPHETT"|"CRESCENT"|""|"GREEN HEAD"|"6514"|"WA"
"32 COUBROUGH PLACE"|""|"32"|""|"COUBROUGH"|"PLACE"|""|"JURIEN BAY"|"6516"|"WA"
"30 COUBROUGH PLACE"|""|"30"|""|"COUBROUGH"|"PLACE"|""|"JURIEN BAY"|"6516"|"WA"
"25 COUBROUGH PLACE"|""|"25"|""|"COUBROUGH"|"PLACE"|""|"JURIEN BAY"|"6516"|"WA"
"1 SHELLEY COVE"|""|"1"|""|"SHELLEY"|"COVE"|""|"JURIEN BAY"|"6516"|"WA"
"12 ELIZABETH WAY"|""|"12"|""|"ELIZABETH"|"WAY"|""|"JURIEN BAY"|"6516"|"WA"
"22 WILLIAMS STREET"|""|"22"|""|"WILLIAMS"|"STREET"|""|"NORTH GREENBUSHES"|"6254"|"WA"
"14 ELIZABETH WAY"|""|"14"|""|"ELIZABETH"|"WAY"|""|"JURIEN BAY"|"6516"|"WA"
"23 VERTICORDIA PLACE"|""|"23"|""|"VERTICORDIA"|"PLACE"|""|"JURIEN BAY"|"6516"|"WA"
"41 FARMERS AVENUE"|""|"41"|""|"FARMERS"|"AVENUE"|""|"BODDINGTON"|"6390"|"WA"
"8 HIGGINS STREET"|""|"8"|""|"HIGGINS"|"STREET"|""|"NANNUP"|"6275"|"WA"
"8 LEAKE STREET"|""|"8"|""|"LEAKE"|"STREET"|""|"ESPERANCE"|"6450"|"WA"
"5 TUPPER STREET"|""|"5"|""|"TUPPER"|"STREET"|""|"ESPERANCE"|"6450"|"WA"
"41 MUNGAN STREET"|""|"41"|""|"MUNGAN"|"STREET"|""|"ESPERANCE"|"6450"|"WA"
"34 GULL STREET"|""|"34"|""|"GULL"|"STREET"|""|"ESPERANCE"|"6450"|"WA"
"31 SYMMONS STREET"|""|"31"|""|"SYMMONS"|"STREET"|""|"BUNBURY"|"6230"|"WA"
"52 WELLINGTON STREET"|""|"52"|""|"WELLINGTON"|"STREET"|""|"BUNBURY"|"6230"|"WA"
"50 WELLINGTON STREET"|""|"50"|""|"WELLINGTON"|"STREET"|""|"BUNBURY"|"6230"|"WA"
"24 PRINSEP STREET"|""|"24"|""|"PRINSEP"|"STREET"|""|"BUNBURY"|"6230"|"WA"
"33 WELLINGTON STREET"|""|"33"|""|"WELLINGTON"|"STREET"|""|"BUNBURY"|"6230"|"WA"
"111 KING ROAD"|""|"111"|""|"KING"|"ROAD"|""|"EAST BUNBURY"|"6230"|"WA"
"113 KING ROAD"|""|"113"|""|"KING"|"ROAD"|""|"EAST BUNBURY"|"6230"|"WA"
"115 KING ROAD"|""|"115"|""|"KING"|"ROAD"|""|"EAST BUNBURY"|"6230"|"WA"
"93 STRICKLAND STREET"|""|"93"|""|"STRICKLAND"|"STREET"|""|"EAST BUNBURY"|"6230"|"WA"
"95 STRICKLAND STREET"|""|"95"|""|"STRICKLAND"|"STREET"|""|"EAST BUNBURY"|"6230"|"WA"
"4 BIRCH STREET"|""|"4"|""|"BIRCH"|"STREET"|""|"SOUTH BUNBURY"|"6230"|"WA"
"3 KIMBER STREET"|""|"3"|""|"KIMBER"|"STREET"|""|"CAREY PARK"|"6230"|"WA"
"17 DOOLAN STREET"|""|"17"|""|"DOOLAN"|"STREET"|""|"CAREY PARK"|"6230"|"WA"
"37 WOLLASTON CRESCENT"|""|"37"|""|"WOLLASTON"|"CRESCENT"|""|"EAST BUNBURY"|"6230"|"WA"
"239 MCHARG CREEK ROAD"|""|"239"|""|"MCHARG CREEK"|"ROAD"|""|"MCHARG CREEK"|"5157"|"SA"
"110 HUMPHRIES TERRACE"|""|"110"|""|"HUMPHRIES"|"TERRACE"|""|"WOODVILLE GARDENS"|"5012"|"SA"
"3 DESTENO STREET"|""|"3"|""|"DESTENO"|"STREET"|""|"PORT PIRIE WEST"|"5540"|"SA"
"370 BOOKMARK AVENUE"|""|"370"|""|"BOOKMARK"|"AVENUE"|""|"RENMARK WEST"|"5341"|"SA"
"5 LIVINGSTONE AVENUE"|""|"5"|""|"LIVINGSTONE"|"AVENUE"|""|"INGLE FARM"|"5098"|"SA"
"15 LIVINGSTONE AVENUE"|""|"15"|""|"LIVINGSTONE"|"AVENUE"|""|"INGLE FARM"|"5098"|"SA"
"23 SYLVAN CIRCUIT"|""|"23"|""|"SYLVAN"|"CIRCUIT"|""|"NOARLUNGA DOWNS"|"5168"|"SA"
"5 HANDEL AVENUE"|""|"5"|""|"HANDEL"|"AVENUE"|""|"INGLE FARM"|"5098"|"SA"
"7 FURNER AVENUE"|""|"7"|""|"FURNER"|"AVENUE"|""|"INGLE FARM"|"5098"|"SA"
"88 KENSINGTON WAY"|""|"88"|""|"KENSINGTON"|"WAY"|""|"BURTON"|"5110"|"SA"
"1510 WELLINGTON ROAD"|""|"1510"|""|"WELLINGTON"|"ROAD"|""|"HIGHLAND VALLEY"|"5255"|"SA"
"56-58 STEVENSON STREET"|""|"56"|"58"|"STEVENSON"|"STREET"|""|"PORT LINCOLN"|"5606"|"SA"
"LOT 66 MCDONALD ROAD"|"66"|""|""|"MCDONALD"|"ROAD"|""|"COOTRA"|"5650"|"SA"
"2 BOWEN ROAD"|""|"2"|""|"BOWEN"|"ROAD"|""|"TEA TREE GULLY"|"5091"|"SA"
"24A GRIMM ROAD"|""|"24A"|""|"GRIMM"|"ROAD"|""|"COFFIN BAY"|"5607"|"SA"
"2-16 BRISBANE DRIVE"|""|"2"|"16"|"BRISBANE"|"DRIVE"|""|"SALISBURY HEIGHTS"|"5109"|"SA"
"56 SEACOMBE ROAD"|""|"56"|""|"SEACOMBE"|"ROAD"|""|"DARLINGTON"|"5047"|"SA"
"15 WOODFIELD DRIVE"|""|"15"|""|"WOODFIELD"|"DRIVE"|""|"SALISBURY DOWNS"|"5108"|"SA"
"55 SHERIDAN STREET"|""|"55"|""|"SHERIDAN"|"STREET"|""|"MENZIES"|"6436"|"WA"
"57 SHERIDAN STREET"|""|"57"|""|"SHERIDAN"|"STREET"|""|"MENZIES"|"6436"|"WA"
"59 NIMROD STREET"|""|"59"|""|"NIMROD"|"STREET"|""|"MENZIES"|"6436"|"WA"
"44 SHERIDAN STREET"|""|"44"|""|"SHERIDAN"|"STREET"|""|"MENZIES"|"6436"|"WA"
"48 SHERIDAN STREET"|""|"48"|""|"SHERIDAN"|"STREET"|""|"MENZIES"|"6436"|"WA"
"20 AGNEW LOOP"|""|"20"|""|"AGNEW"|"LOOP"|""|"GWELUP"|"6018"|"WA"
"36 WALTON STREET"|""|"36"|""|"WALTON"|"STREET"|""|"MENZIES"|"6436"|"WA"
"38 WALTON STREET"|""|"38"|""|"WALTON"|"STREET"|""|"MENZIES"|"6436"|"WA"
"40 WALTON STREET"|""|"40"|""|"WALTON"|"STREET"|""|"MENZIES"|"6436"|"WA"
"44 ANSTEY STREET"|""|"44"|""|"ANSTEY"|"STREET"|""|"SOUTH PERTH"|"6151"|"WA"
"93 SOUTH PERTH ESPLANADE"|""|"93"|""|"SOUTH PERTH"|"ESPLANADE"|""|"SOUTH PERTH"|"6151"|"WA"
"231 COUNTRY DRIVE"|""|"231"|""|"COUNTRY"|"DRIVE"|""|"OAKFORD"|"6121"|"WA"
"203 COUNTRY DRIVE"|""|"203"|""|"COUNTRY"|"DRIVE"|""|"OAKFORD"|"6121"|"WA"
"197 COUNTRY DRIVE"|""|"197"|""|"COUNTRY"|"DRIVE"|""|"OAKFORD"|"6121"|"WA"
"11 RUSTIC PLACE"|""|"11"|""|"RUSTIC"|"PLACE"|""|"OAKFORD"|"6121"|"WA"
"10 RUSTIC PLACE"|""|"10"|""|"RUSTIC"|"PLACE"|""|"OAKFORD"|"6121"|"WA"
"95 COUNTRY DRIVE"|""|"95"|""|"COUNTRY"|"DRIVE"|""|"OAKFORD"|"6121"|"WA"
"40 TRAYLEN ROAD"|""|"40"|""|"TRAYLEN"|"ROAD"|""|"STONEVILLE"|"6081"|"WA"
"1 MANOOKA WAY"|""|"1"|""|"MANOOKA"|"WAY"|""|"KALAMUNDA"|"6076"|"WA"
"4 THORNE STREET"|""|"4"|""|"THORNE"|"STREET"|""|"MENZIES"|"6436"|"WA"
"41 VIRGINIA PLACE"|""|"41"|""|"VIRGINIA"|"PLACE"|""|"WAIKIKI"|"6169"|"WA"
"20 MCPHERSON AVENUE"|""|"20"|""|"MCPHERSON"|"AVENUE"|""|"CLARKSON"|"6030"|"WA"
"9 MCPHERSON AVENUE"|""|"9"|""|"MCPHERSON"|"AVENUE"|""|"CLARKSON"|"6030"|"WA"
"16 DAY STREET NORTH"|""|"16"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"24 DAY STREET NORTH"|""|"24"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"26 DAY STREET NORTH"|""|"26"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"29 DAY STREET NORTH"|""|"29"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"36 DAY STREET NORTH"|""|"36"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"37 DAY STREET NORTH"|""|"37"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"39 DAY STREET NORTH"|""|"39"|""|"DAY"|"STREET"|"NORTH"|"SILVERWATER"|"2128"|"NSW"
"21-25 DEAKIN STREET"|""|"21"|"25"|"DEAKIN"|"STREET"|""|"SILVERWATER"|"2128"|"NSW"
"1 DENVER ROAD"|""|"1"|""|"DENVER"|"ROAD"|""|"ST CLAIR"|"2759"|"NSW"
"50 DENVER ROAD"|""|"50"|""|"DENVER"|"ROAD"|""|"ST CLAIR"|"2759"|"NSW"
"12A DENZIL AVENUE"|""|"12A"|""|"DENZIL"|"AVENUE"|""|"ST CLAIR"|"2759"|"NSW"
"25 DENZIL AVENUE"|""|"25"|""|"DENZIL"|"AVENUE"|""|"ST CLAIR"|"2759"|"NSW"
"2 DENZIL AVENUE"|""|"2"|""|"DENZIL"|"AVENUE"|""|"ST CLAIR"|"2759"|"NSW"
"101 DERBY STREET"|""|"101"|""|"DERBY"|"STREET"|""|"SILVERWATER"|"2128"|"NSW"
"14 DERBY STREET"|""|"14"|""|"DERBY"|"STREET"|""|"SILVERWATER"|"2128"|"NSW"
"39-47 DERBY STREET"|""|"39"|"47"|"DERBY"|"STREET"|""|"SILVERWATER"|"2128"|"NSW"
"16 JENNINGS WAY"|""|"16"|""|"JENNINGS"|"WAY"|""|"MERRIWA"|"2329"|"NSW"
"17 JENNINGS WAY"|""|"17"|""|"JENNINGS"|"WAY"|""|"MERRIWA"|"2329"|"NSW"
"2 JENNINGS WAY"|""|"2"|""|"JENNINGS"|"WAY"|""|"MERRIWA"|"2329"|"NSW"
"4 JENNINGS WAY"|""|"4"|""|"JENNINGS"|"WAY"|""|"MERRIWA"|"2329"|"NSW"
"5 JENNINGS WAY"|""|"5"|""|"JENNINGS"|"WAY"|""|"MERRIWA"|"2329"|"NSW"
"7 JENNINGS WAY"|""|"7"|""|"JENNINGS"|"WAY"|""|"MERRIWA"|"2329"|"NSW"
"11 SAINT JUDE COURT"|""|"11"|""|"SAINT JUDE"|"COURT"|""|"BROWNS PLAINS"|"4118"|"QLD"
"15 WATERLILY LANE"|""|"15"|""|"WATERLILY"|"LANE"|""|"TINBEERWAH"|"4563"|"QLD"
"49 WATERVIEW DRIVE"|"7"|"49"|""|"WATERVIEW"|"DRIVE"|""|"DUNDOWRAN BEACH"|"4655"|"QLD"
"51 WATERVIEW DRIVE"|"4"|"51"|""|"WATERVIEW"|"DRIVE"|""|"DUNDOWRAN BEACH"|"4655"|"QLD"
"11 WATERWAY CRESCENT"|"343"|"11"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"14 WATERWAY CRESCENT"|"371"|"14"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"15 WATERWAY CRESCENT"|"342"|"15"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"20 WATERWAY CRESCENT"|"374"|"20"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"22 WATERWAY CRESCENT"|"375"|"22"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"24 WATERWAY CRESCENT"|"376"|"24"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"26 WATERWAY CRESCENT"|"377"|"26"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"28 WATERWAY CRESCENT"|"378"|"28"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"30 WATERWAY CRESCENT"|"379"|"30"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"8 WATERWAY CRESCENT"|"368"|"8"|""|"WATERWAY"|"CRESCENT"|""|"MURRUMBA DOWNS"|"4503"|"QLD"
"2560 KOOMALAH ROAD"|""|"2560"|""|"KOOMALAH"|"ROAD"|""|"DIRRANBANDI"|"4486"|"QLD"
"94 WATTLE STREET"|"3"|"94"|""|"WATTLE"|"STREET"|""|"POINT VERNON"|"4655"|"QLD"
"11 WAVELL DRIVE"|""|"11"|""|"WAVELL"|"DRIVE"|""|"TINAROO"|"4872"|"QLD"
"3 WAYAMBA WAY"|""|"3"|""|"WAYAMBA"|"WAY"|""|"TORQUAY"|"4655"|"QLD"
"41 WELLINGTON STREET"|""|"41"|""|"WELLINGTON"|"STREET"|""|"CLEVELAND"|"4163"|"QLD"
"6 BUNJIL PLACE"|"307"|"6"|""|"BUNJIL"|"PLACE"|""|"UPPER COOMERA"|"4209"|"QLD"
"26 MCCONKEY ROAD"|""|"26"|""|"MCCONKEY"|"ROAD"|""|"GREENOUGH"|"6532"|"WA"
"33 MCCONKEY ROAD"|""|"33"|""|"MCCONKEY"|"ROAD"|""|"GREENOUGH"|"6532"|"WA"
"173A MCDONALD STREET"|""|"173A"|""|"MCDONALD"|"STREET"|""|"JOONDANNA"|"6060"|"WA"
"264 MCINTOSH ROAD"|""|"264"|""|"MCINTOSH"|"ROAD"|""|"HAY"|"6333"|"WA"
"27B MCINTYRE WAY"|""|"27B"|""|"MCINTYRE"|"WAY"|""|"KENWICK"|"6107"|"WA"
"73 MCKAIL STREET"|""|"73"|""|"MCKAIL"|"STREET"|""|"ORANA"|"6330"|"WA"
"231 MCKAY ROAD"|""|"231"|""|"MCKAY"|"ROAD"|""|"BENJABERRING"|"6463"|"WA"
"46A MCKENZIE WAY"|""|"46A"|""|"MCKENZIE"|"WAY"|""|"EMBLETON"|"6062"|"WA"
"360 MCNEE ROAD"|""|"360"|""|"MCNEE"|"ROAD"|""|"NEMBUDDING"|"6485"|"WA"
"340B PACIFIC HIGHWAY"|""|"340B"|""|"PACIFIC"|"HIGHWAY"|""|"SWANSEA"|"2281"|"NSW"
"358A PACIFIC HIGHWAY"|""|"358A"|""|"PACIFIC"|"HIGHWAY"|""|"SWANSEA"|"2281"|"NSW"
"370A PACIFIC HIGHWAY"|""|"370A"|""|"PACIFIC"|"HIGHWAY"|""|"SWANSEA"|"2281"|"NSW"
"35 PACIFIC HIGHWAY"|""|"35"|""|"PACIFIC"|"HIGHWAY"|""|"TUGGERAH"|"2259"|"NSW"
"1215-1217 PACIFIC HIGHWAY"|""|"1215"|"1217"|"PACIFIC"|"HIGHWAY"|""|"TURRAMURRA"|"2074"|"NSW"
"3152-3158 PACIFIC HIGHWAY"|""|"3152"|"3158"|"PACIFIC"|"HIGHWAY"|""|"TYNDALE"|"2460"|"NSW"
"14-16 PACIFIC HIGHWAY"|""|"14"|"16"|"PACIFIC"|"HIGHWAY"|""|"WYONG"|"2259"|"NSW"
"92-96 PACIFIC HIGHWAY"|""|"92"|"96"|"PACIFIC"|"HIGHWAY"|""|"WYONG"|"2259"|"NSW"
"18-19 PACIFIC PARADE"|""|"18"|"19"|"PACIFIC"|"PARADE"|""|"YAMBA"|"2464"|"NSW"
"312C ODIN DRIVE"|""|"312C"|""|"ODIN"|"DRIVE"|""|"STIRLING"|"6021"|"WA"
"130A ODIN ROAD"|""|"130A"|""|"ODIN"|"ROAD"|""|"INNALOO"|"6018"|"WA"
"7 OXFORD PLACE"|"116"|"7"|""|"OXFORD"|"PLACE"|""|"STRETTON"|"4116"|"QLD"
"24 POTTER LANE"|"10"|"24"|""|"POTTER"|"LANE"|""|"CARINA HEIGHTS"|"4152"|"QLD"
"26 POTTER LANE"|"11"|"26"|""|"POTTER"|"LANE"|""|"CARINA HEIGHTS"|"4152"|"QLD"
"5 POTTER LANE"|"96"|"5"|""|"POTTER"|"LANE"|""|"CARINA HEIGHTS"|"4152"|"QLD"
"9 POTTER LANE"|"94"|"9"|""|"POTTER"|"LANE"|""|"CARINA HEIGHTS"|"4152"|"QLD"
"25 POULTON STREET"|"6"|"25"|""|"POULTON"|"STREET"|""|"UPPER MOUNT GRAVATT"|"4122"|"QLD"
"2 POUND STREET"|"1"|"2"|""|"POUND"|"STREET"|""|"DUTTON PARK"|"4102"|"QLD"
"3 POUND STREET"|"1"|"3"|""|"POUND"|"STREET"|""|"DUTTON PARK"|"4102"|"QLD"
"70 POWER STREET"|"211"|"70"|""|"POWER"|"STREET"|""|"NORMAN PARK"|"4170"|"QLD"
"155 POZIERES ROAD"|"7"|"155"|""|"POZIERES"|"ROAD"|""|"TARRAGINDI"|"4121"|"QLD"
"93 POZIERES ROAD"|"3"|"93"|""|"POZIERES"|"ROAD"|""|"TARRAGINDI"|"4121"|"QLD"
